input	gold
にんげんにちかづけるひつようはないのです	人間に近づける必要はないんです
なれればよいのですよ	慣れればいいのですよ
じゅうなんですね	柔軟ですね
はいにんげんはそんなものなのです	はい人間はそんなもんなんです
えーあいがわはこのへんでいーやろとはおもわないのですぐにわからなくなりますよ	AI側はこのへんでいいやろとは思わないのですぐにわからなくなりますよ
もうわからないです	もうわからないです
えー	えー
なにでこのひんしつでやっているのかはぎもんがのこります	なんでこの品質でやっているのかは疑問が残ります
きにならないというかたがただしいかも	気にならないという方が正しいかも
まいあさきーてますし	毎朝聴いてますし
なれましょ	慣れましょ
いがいとほしゅてきなのです	意外と保守的なんです
しってます	知ってます
ごぜんちゅうはこれつくりました	午前中はこれ作りました
ここにいろいろかさねていこーかなと	ここに色々重ねていこうかなと
おやすみですか	お休みですか
はいろうどうでしたねそういえば	はい労働でしたねそういえば
あさだけです	朝だけです
もうおわりました	もう終わりました
ざいたく	在宅
いえうめだ	いえ梅田
おつかれさまです	おつかれさまです
たんめんのめんがなごやのみそにこみうどんなみにかたくてあごがつかれました	担麺の麺が名古屋の味噌煮込みうどんなみに硬くて顎がつかれました
もうおやしらずあとちはだいじょうぶですか	もう親知らず跡地は大丈夫ですか
はい	はい
ほおがきんにくつうみたいなかんじです	頬が筋肉痛みたいな感じです
ないしゅっけつしててほおがすこしきいろっぽくなりました	内出血してて頬が少し黄色っぽくなりました
そういえばぬいたちょくごはほっぺたがふくらんでましたね	そういえば抜いた直後はほっぺたが膨らんでましたね
ふくらむ	膨らむ
はれるといーます	腫れると言います
ところでこれはなにですか	ところでこれはなんですか
どうつかうものなのですか	どうつかうものなんですか
じぶんせんようのちゃーとがめんをつくってます	自分専用のチャート画面を作ってます
えーあいもでるができたらここにかさねてうりかいのさいんをだしてもらおーかなと	aiモデルができたらここに重ねて売り買いのサインを出してもらおうかなと
このがめんはどこでつくられるのですか	この画面はどこで作られるんですか
じょうほうのながれといーますかいんぷっととあうとぷっとがいつもよくわからないなと	情報の流れと言いますかインプットとアウトプットがいつもよくわからないなーと
これはじぶんのぴーしーでうごいています	これは自分のpcで動いています
みんかぶのぺーじからりあるたいむの	みんかぶのページからリアルタイムの
あたいをとってきました	値を取ってきました
ちょっときやくぐれーなところです	ちょっと規約グレーなところです
このりあるたいむでーたのしゅとくがいちばんのかだいです	このリアルタイムデータの取得が一番の課題です
ですね	ですね
でーたがとれるかしりませんけれど	データが取れるか知りませんけど
ここはてくにかるしひょうみてました	ここはテクニカル指標見てました
てくにかるしひょうとは	テクニカル指標とは
てくにかるのあたいがいっぱいならんでますよねこのさいと	テクニカルの値がいっぱい並んでますよねこのサイト
どのさいと	どのサイト
たんごのつかいかたがちがうからよくわからないのですがつかってらっしゃるということですね	単語の使い方が違うからよくわからないのですが使ってらっしゃるということですね
ああ	ああ
いんじけーたーそのままですね	インジケーターそのままですね
しひょうってふぁんだのときしかつかわはないからこんらんしました	指標ってファンダの時しか使わはないから混乱しました
わたくしはいんじけーたーもほとんどつかわないです	私はインジケーターもほとんど使わないです
にぜろぜろのいどうへいきんせんはみますけれどそれくらい	200の移動平均線は見ますけどそれくらい
みぢかにつかいこなしてるひとがいないというかいらないというか	身近に使いこなしてる人がいないというか要らないというか
えーあいにはすうじのいんぷっとがひつようですよね	AIには数字のインプットが必要ですよね
ふぃぼだうえりおっととかはしょきいちとかをきめないとつかえないいんじけーたーなのですがえーあいはそれもやってくださるのかしら	フィボダウエリオットとかは初期位置とかを決めないと使えないインジケーターなのですがAIはそれもやってくださるのかしら
やれといえばやってくれるとおもいますがてきせつかどうかは	やれといえばやってくれると思いますが適切かどうかは
ですね	ですね
いまでもやってくれるいんじけーたーはかいはつされてたとおもうのですがにんげんとおなじかんかくでそれをてきせつにやってくれたらよいなと	今でもやってくれるインジケーターは開発されてたと思うのですが人間と同じ感覚でそれを適切にやってくれたらいいなーと
にんげんのようにぱたーんにんしきをてきぎこうしんしながらやりつづけるえーあいがあればしっとしますね	人間のようにパターン認識を適宜更新しながらやり続けるAIがあれば嫉妬しますね
すうじにあくしょんするのはすでにたくさんあるらしいですがぱたーんにんしきはへたくそだとききます	数字にアクションするのはすでに沢山あるらしいですがパターン認識は下手くそだと聞きます
がぞうにんしきはじょうずにできるのでもでるのつくりかたしだいかなとおもいます	画像認識は上手にできるのでモデルの作り方次第かなと思います
ひょっとしてすうじじゃなくてちゃーとがぞうをがくしゅうしたほうがよいのかな	ひょっとして数字じゃなくてチャート画像を学習した方がいいのかな
ようはしゅほうしだいかとすうじでかつからじゅうぶんさかもとさんのもくてきははたすのでは	要は手法次第かと数字で勝てるから十分坂本さんの目的は果たせるのでは
えふえっくすってどにちはしまるのですか	FXって土日は閉まるんですか
さかもとさんのもくてきはえーあいをつくるようになることですね	坂本さんの目的はAIを作れるようになることですね
えふえっくすはやすみですかびっとこいんとかはうごいてます	FXは休みですかビットコインとかは動いてます
どにちあそべないなんて	土日遊べないなんて
あといちぶのちいきではどにちにもとれーどされてます	あと一部の地域では土日にもトレードされてます
びっとこいんもえふえっくすとりひきですよ	ビットコインもFX取引きですよ
いんでっくすもかねもおなじしすてむ	インデックスも金も同じシステム
さはないです	差はないです
たしかにびーてぃーしーはうごいているのでこちらでいろいろあそびます	確かにBTCは動いているのでこちらで色々遊びます
びっところさんはどにちぶんのちゃーとがあるしょうけんかいしゃとそうでないところがあっててくにかるがはずれやすいというけってんもあります	ビットコさんは土日分のチャートがある証券会社とそうでないとこがあってテクニカルが外れやすいという欠点もあります
しょうけんかいしゃによっておーぷんさいだいさいしょうくろーずのあたいがちがいます	証券会社によってオープン最大最小クローズの値がちがいます
もしえーあいができるのであればふくすうのしょうけんかいしゃのちゃーとでーたをとってきたほうがよいかと	もしAIができるのであれば複数の証券会社のチャートデータを取ってきた方が良いかと
ちがいますね	違いますね
いっかんせいがあればよいのかなとおもっていました	一貫性があればいいのかなと思っていました
ひあしならもんだいないですがひあしのねうごきであくしょんをきめるならあまりえいきょうないです	日足なら問題ないですが日足の値動きでアクションを決めるならあまり影響ないです
たしかにりあるたいむからろうそくつくってみたのですがけっこうちがいますね	たしかにリアルタイムからロウソク作って見たのですが結構違いますね
がめんからすうじよみとってもおなじろうそくにはならない	画面から数字読み取っても同じロウソクにはならない
でーたがおなじならろうそくはおなじはずですけれどね	データが同じならロウソクは同じはずですけどね
がめんのこうしんにでてこないさいだいちさいしょうちがあるのかはたまたぶんのくぎりがちがうのか	画面の更新に出てこない最大値最小値があるのかはたまた分の区切りが違うのか
さて	さて
まだつずいてるのですかね	まだ続いてるのですかね
ばんごうまではおぼえてませんがにっぽんにもどすかなにとかいってたやつかな	番号までは覚えてませんが日本に戻すかなんとか言ってたやつかな
そういえばたいにいきましたね	そういえばタイにいきましたね
もどすのですね	戻すのですね
だいぶまえのはなしでうろおぼえです	だいぶ前の話でうろ覚えです
そういえばしゃちょうもたいがいでしたがせきそうのまねーじゃーごぜろだいがにぜろだいのぶかとふりんしてましたね	そういえば社長も大概でしたが積層のマネージャー50代が20代の部下と不倫してましたね
それだれかのかのじょだったっていうはなしですかね	それ誰かの彼女だったって言う話ですかね
さあいちぜろねんまえなので	さあ10年前なんで
ねんのさがきもちわるいなと	年の差が気持ち悪いなーと
ふとおもいだしました	ふと思い出しました
よねつさんですよね	米津さんですよね
きょうはえーあいとかくとうしました	今日はAIと格闘しました
がくしゅうしたでーたにはまとめんにこうかがあがりますががくしゅうしてないでーたでよそくさせるとへいぼんなけっかがかえってきます	学習したデータには的面に効果が上がりますが学習してないデータで予測させると平凡な結果が帰ってきます
むずかしい	難しい
りあるたいむでまいふんとかまいじででーたこうしんさせるのですか	リアルタイムで毎分とか毎時でデータ更新させるのですか
いまはにさんねんまでのでーたでがくしゅうしてによんねんをよそくしこたえあわせするみたいにしてます	今は23年までのデータで学習して24年を予測し答え合わせするみたいにしてます
しょうらいてきにはりあるたいむにしたいですね	将来的にはリアルタイムにしたいですね
きのうともだちがいーえーをかいはつしてるというはなしをきーてましたがしじとおりにしかうごけないとはいえーじゅうぶんつかえてるみたいでした	昨日友達がＥＡを開発してるという話を聞いてましたが指示通りにしか動けないとはいえ十分使えてるみたいでした
いーえーってなにですか	eaってなんですか
じどうとりひきしすてむ	自動取引システム
えーあいでそれとれんどうさせるのですよね	AIでそれと連動させるのですよね
れんどうできればよいですがそれをさせてくれるところがげんじつてきにないのがじつじょうです	連動できればいいですがそれをさせてくれるところが現実的にないのが実情です
こんびにでそふとくりーむかったられじでねだんにびっくりした	コンビニでソフトクリーム買ったらレジで値段にびっくりした
おでかけですか	お出かけですか
れれれのれ	れれれのれ
するーするとは	スルーするとは
えっ	え
かんさいにんのまなーでは	関西人のマナーでは
しらんがな	しらんがな
いーえーとれんけいしたべつのあぷりけーしょんでえむてぃーよんをそうさしたりしてました	EAと連携した別のアプリケーションでMT4を操作したりしてました
なのでえーあいがうごくあぷりとえむてぃーよんをいーえーでつなげばよいだけだとおもってました	なのでAIが動けるアプリとMT4をEAでつなげばいいだけだと思ってました
あーるぴーえーというやつですかね	RPAというやつですかね
さあ	さあ
わたくしにはわからないです	私にはわからないです
ごねんまえにむりょうではいふされているていどのものだったかと	５年前に無料で配布されている程度のものだったかと
わたくしがつかっていたのはいっかつけっさいするいーえーとあぷりだったとおもいます	私が使っていたのは一括決済するEAとアプリだったと思います
それをつかわないといちぽじずつりかくしなきゃいけなくて	それを使わないと１ポジづつ利確しなきゃいけなくて
にれいぽじくらいもっているとたいへんなのですよ	２０ポジくらいもっていると大変なんですよ
さしねをいれるじかんてきよゆうもないくらいのすぴーどりかくをするひとむけですけれど	指値を入れる時間的余裕もないくらいのスピード利確をする人むけですけど
あれさがしているのにみつからないです	あれ探しているのに見つからないです
いーえーだけでじどうけっさいできちゃうやつばかりでてきますね	EAだけで自動決済できちゃうやつばかりでてきますね
わたくしはたしかにべつのあぷりでそうさしていたはずなのです	私は確かに別のアプリで操作していたはずなんです
えむきゅーえるっていうのでぷろぐらむできるのですかね	MQLっていうのでプログラムできるんですかね
なにかがいぶからもそうさできそうなかんじはありますね	なんか外部からも操作できそうな感じはありますね
です	です
えーあいさんひあしでーただからだめでじかんあしだったらもっとかしこくなるのかとおもってがくしゅうしなおしたけれどだめでした	AIさん日足データだからダメで時間足だったらもっと賢くなるのかと思って学習し直したけどダメでした
えーあいのしくみがいまいちなのでしょーねまだ	AIの仕組みがいまいちなんでしょうねまだ
おしえかたにはもんだいないわけですか	教え方には問題ないわけですか
きょうかしょとおりやっているのですがそこはあまりはばがないようにおもいます	教科書通りやっているのですがそこはあまり幅がないように思います
にんげんのようにおしえかたがうまいとかあればよいのですが	人間のように教え方が上手いとかあればいいのですが
であとはほめてのばすしかないですね	じゃあ後は褒めて伸ばすしかないですね
ぎょうむじょうであたらしいひょうかききとかしけんききがひつようだなってことってあります	業務上であたらしい評価機器とか試験機器が必要だなーってことってあります
よっぱらってます	酔っ払ってます
ええええなにで	ええええなんでぇ
どこですか	どこですか
なごや	なごや
いまのこんぽはでぶさんさんがいなくなったからおだやかなのでしょーかね	今のコンポはデブ山さんがいなくなったから穏やかなんでしょうかね
そういってます	そう言ってます
しほくんあおいますくやん	志保君青いマスクやん
おたんじょうひおめでとーございます	お誕生日おめでとうございます
あざまるすいさん	あざまる水産
これからしがにもどるのですか	これから滋賀にもどるんですか
なごやだいにともだちがいるのでらんちたべてからかえります	名古屋大に友達がいるのでランチ食べてからかえります
きのうこんぽのぎじゅつしゃはなごやがべーすだったなとひさびさにおもいだしました	きのうコンポの技術者は名古屋がベースだったなーと久々に思い出しました
ごあんぜんに	ご安全に
けーきたべますか	ケーキたべますか
そういえばけーきたべたかったのにきのうもらったくらぶはりえをあさからたべたのでもうかわなさそう	そういえばケーキたべたかったのに昨日もらったクラブハリエを朝から食べたのでもう買わなさそう
あすからいちはくのひろしまのしゅっちょうをえんきしたたいふうがおおはばにちこくしてる	明日から一泊の広島の出張を延期した台風が大幅に遅刻してる
えんきさせたたいふう	延期させた台風
でもなぜかとうかいどうしんかんせんがおおあれらしい	でもなぜか東海道新幹線が大荒れらしい
たしかにおくれまくりですね	たしかに遅れまくりですね
えんきでせいかい	延期で正解
あついしすずしくなってからのほうがよかったのでたすかった	暑いし涼しくなってからの方がよかったのでたすかった
よくみつけましたね	良く見つけましたね
うちのちちこどものころおよいてたそうです	うちの父子供の頃泳いでたそうです
おすすめされました	おすすめされました
まさにいちきゅうごぜろねんだい	まさに1950年代
いちきゅうよんぜろねんだいかも	1940年代かも
なにでさかもとさんにすすめるのです	なんで坂本さんに勧めるんです
きれいにもどってなによりです	綺麗に戻って何よりです
なにででしょ	なんででしょ
まだまだですけれども	まだまだですけども
にっぽんいちきたなかったとよしだせんせいにきーていたのでやまとかわとわかりました	日本一汚かったと吉田先生に聞いていたので大和川とわかりました
いまはにっぽんでにばんめにきたないはず	いまは日本で2番目に汚いはず
あれまだそんなに	あれまだそんなに
ちがった	違った
いちぜろいまでさがりました	10位まで下がりました
よどがわのほうがきたないみたいです	淀川の方が汚いみたいです
さいしょうたんいなのですうせんえんのはなしですが	最小単位なので数千円の話ですが
おちてますね	落ちてますね
なにでおちたのでしょーか	なんでおちたのでしょうか
あ	あ
いつひーたかわからないわたくしのらいんもきーてる	いつ引いたかわからない私のラインも効いてる
これはふつうにすいへいせんでたたかれてるだけかもしれませんね	これは普通に水平線で叩かれてるだけかもしれませんね
てっぱんでした	鉄板でした
わたくしのびっとこさんのちゃーとはどにちちゃーとがはいっていないのでこわいからほぼみないですけれど	私のビット子さんのチャートは土日チャートが入っていないのでこわいからほぼ見ないですけど
あっかぶかももどっていたのですねかいたしておいてよかったです	あ株価も戻っていたんですね買い足しておいて良かったです
というかほうちしていたえぬあいえすえーでですけれど	というか放置していたNISAでですけど
ねんしからぐんぐんあがるからかうきにならずえぬあいえすえーのわくがあまりまくってました	年始からぐんぐん上がるから買う気にならずNISAの枠が余りまくってました
なんねんもさきのことをかんがえてやるとうしはすきになれないです	何年も先のことを考えてやる投資は好きになれないです
たんきでやるにはいちじかんあしくらいででーたがほしいです	短期でやるには1時間足くらいでデータが欲しいです
あるとおもいますけれど	あると思いますけど
どのへんと	どの辺と
どのへんにいけばあるでしょー	どの辺に行けばあるでしょう
えむてぃーよんに	MT4に
えむてぃーよんからだうんろーどできるのですか	MT4からダウンロードできるんですか
かいがいしょうけんかいしゃです	海外証券会社です
もちろんできますしむかしわたくしもだうんろーどしてぶんせきしてましたよ	もちろんできますし昔私もダウンロードして分析してましたよ
ただしょうけんかいしゃによってもっているでーたすうがちがったりだうんろーどできるじょうほうりょうがちがったりしますけおーでぃー	ただ証券会社によって持っているデータ数が違ったりダウンロードできる情報量が違ったりしますけおｄ
やってみます	やってみます
あっでもわたくしのしょうけんかいしゃはどにちちゃーとはないからかたちがちがってきますよ	あでも私の証券会社は土日チャートはないから形が違ってきますよ
さっきからいちぜろふんあしはじどうでちくせきするようにしこみました	さっきから10分足は自動で蓄積するように仕込みました
えふえっくすはないけれどあんごうつうかはえーぴーあいでのじどうとりひきがあたりまえのようにつかうみたいですね	FXはないけど暗号通貨はapiでの自動取引が当たり前のように使えるみたいですね
えーあいとりひきするならあんごうつうかか	AI取引するなら暗号通貨か
びっところはどるしかないです	ビットコはドルしかないです
いちぜろあしはないのでごかいちごふんです	10足はないので5か15分です
ならいまのところよいです	なら今のところいいです
しばらくでーたをちくせきしてみます	しばらくデータを蓄積してみます
いちぜろってめずらしいですね	10てめずらしいですね
てきとうです	適当です
よしだせんせいはなにをみますか	吉田先生は何をみますか
そうなのですけれどよしだせんせいがいつもみるのは	そうなんですけど吉田先生がいつも見るのは
これらをぜんぶみます	これらを全部みます
そうなのですね	そうなんですね
でごふんでとっとくか	じゃ5分で取っとくか
みるというのはいちかんきょうにんしきとしてよんえいちいじょうをみてちょうきでもつかはんだんしてにえんとりーぷらんをいちえいちいかでかんがえます	みるというのは①環境認識として４H以上をみて長期でもてるか判断して②エントリープランを１H以下で考えます
いちばんこんきょのつよいぷらんがつくれそうなじかんあしでえんとりーぷらんをつくってさんいちふんあしくらいでたいみんぐをはかってえんとりーする	一番根拠の強いプランがつくれそうな時間足でエントリープランを作って③１分足くらいでタイミングを計ってエントリーする
なのでぜんぶみるためにいちつうかごとにふくすうがめんひらいてそれぞれのじかんあしをかんししたりもしますよ	なので全部見るために１通貨ごとに複数画面開いてそれぞれの時間足を監視したりもしますよ
きょうともだちがとうきょうからあそびにくることになってたのですよ	今日友達が東京から遊びにくることになってたんですよ
しんかんせんとまるしおおあめだしくるのかなと	新幹線とまるし大雨だし来れるのかなぁと
ほくりくですかね	北陸ですかね
ひこうきとんでます	飛行機飛んでます
とんてるのかな	飛んでるのかな
ぞうびんするっていってたし	増便するって言ってたし
あっしゃしんきてた	あ写真来てた
えー	えー
こうそくはとまってるかとおもったのが	高速はとまってるかと思ったのが
でもおおあめ	でも大雨
とうかいあたりがまっかですね	東海あたりが真っ赤ですね
おおさかはたいふうたいしたことないのですけれどはなれたかんとうとうかいがひどくてびびりますね	大阪は台風たいしたことないんですけど離れた関東東海が酷くてビビりますね
ことしはひがしがさいがいですね	今年は東が災害ですね
かんさいにいるとほんとううふらなかつたしいままでっていちばんあついかんじ	関西にいるとほんと雨降らなかつたし今までて一番暑い感じ
こめふそくってしってました	込め不足って知ってました
べい	米
わらい	笑
にゅーすっていってますね	ニュースて言ってますね
わたくしはせんしゅうしったのですけれどすーぱーでてにはいらなくなったのはもっとまえかららしいですよ	私は先週しったんですけどスーパーで手に入らなくなったのはもっと前かららしいですよ
なんかいとらふよほうからですよね	南海トラフ予報からですよね
あれで	あれで
みなかいだめ	みんな買い溜め
なにかそれだけじゃないとききましたけれど	なんかそれだけじゃないと聞きましたけど
げんたんとあつすぎてべいがわれるってけさいってました	減反と暑すぎて米が割れるって今朝言ってました
へえ	へー
もうすぐしんまいがでまわるからまっててつって	もうすぐ新米が出回るから待っててつて
そうですか	そうですか
ぱっくごはんあいようしゃにはかんけいないですね	パックご飯愛用者には関係ないですね
しんまいって	新米って
おともだちはぶじにつきましたか	お友達は無事につきましたか
はい	はい
にななじまえまではしごしてました	27時前までハシゴしてました
わかいですね	若いですね
じょおうさまがまんぞくするまでつきあうのがせきむ	女王様が満足するまで付き合うのが責務
げんこうはんです	現行犯です
しがあたりでくるまがいないってことをいーたかったみたいなのですが	滋賀あたりで車がいないって事を言いたかったみたいなんですが
やはりあいてたのですかね	やっぱり空いてたんですかね
みたいです	みたいです
しずおかあたり	静岡あたり
せんしゃちゅうって	洗車中って
なにわだんしをたのしまれてました	なにわ男子をたのしまれてました
なのですか	なんですか
でてんいんをなにわだんしってよびかけるのでひやひやしました	で店員をなにわ男子って呼びかけるんでヒヤヒヤしました
かすはらとかいわれたらこまるので	カスハラとか言われたら困るんで
さいごにきみよいこだからとちっぷわたしてました	最後に君いい子だからとチップ渡してました
きゃばじょうすごいですよね	キャバ嬢すごいですよね
すごいですか	すごいですか
てきなしです	敵なしです
でもひとつのすきるなのですよりかいできないけれど	でも一つのスキルなんですよ理解できないけど
さきにいろんなすごさをしってるからもときゃばじょうはねたでしかないですがしらずにあうとだめかもしれない	先に色んな凄さをしってるから元キャバ嬢はネタでしかないですが知らずに会うとダメかもしれない
いくのですか	行くんですか
みぎにまがったさきにもぎょうれつが	右に曲がった先にも行列が
さうなぎょうれつ	サウナ行列
なぞ	なぞ
なぞはすべてとけた	謎は全て解けた
きゅういち	91
いちれいじちょくぜんのぱちんこてんのぎょうれつでした	１０時直前のパチンコ店の行列でした
ぱちんこにならぶいみがりかいできていません	パチンコに並ぶ意味が理解できていません
よいばしょがあるのでしょーがそれはしんじつなのでしよーか	いい場所があるんでしょうがそれは真実なんでしようか
さてきのうもとれーどしゅほうのはなしてましたがなにでそのつうかぺあがとくいなのかこべつかぶとれーどのゆういせいはなになのかをはなしてましたがおたがいにりかいできなかったです	さて昨日もトレード手法の話してましたがなんでその通貨ペアが得意なのか個別株トレードの優位性は何なのかを話してましたがお互いに理解できなかったです
ただけっかがともなうとそれぞれのかちぱたーんをみがきたくなると	ただ結果がともなうとそれぞれの勝ちパターンを磨きたくなると
しんじつはひとつじゃないのかと	真実は一つじゃないのかと
えふえっくすはばしょとりしなくてよいかららくですね	fxは場所取りしなくていいから楽ですね
たしかに	たしかに
かぶはいたというのがあいててかっぱつなごぜんしょうぶなのだとか	株は板というのが空いてて活発な午前勝負なのだとか
そこはきょうみありますね	そこは興味ありますね
りーだーがげんごかへたくそなのでていぎにてまどるれべるですけれどね	リーダーが言語化下手くそなので定義に手間取るレベルですけどね
えーあいはねっとでどくがくしてくれたりします	AIはネットで独学してくれたりします
おもいとおりになるかどうかはべつにしてやってくれます	思い通りになるかどうかは別にしてやってくれます
あっこのやまとさんはえーあいなにたらってしかくもってるいうてましたがしかくあるのですね	あこの大和さんはAIなんちゃらって資格持ってる言うてましたが資格あるんですね
でもきーたしかくがここにあるものだったかきおくにない	でも聞いた資格がここにあるものだったか記憶にない
あいてぃーかんれんのしかくはげんじつでやくにたたないですよね	IT関連の資格は現実でやくにたたないですよね
なにでもそうですね	なんでもそうですね
きょうもおでかけですか	今日もお出かけですか
かえってきておせんたくしております	帰ってきてお洗濯しております
あんごうつうかってざつしょとくでぜいきんたかいのですね	暗号通貨って雑所得で税金高いんですね
しょうこきんとりひきのことですか	証拠金取引のことですか
まちがえた	まちがえた
どこですか	どこですか
わがぼこう	我が母校
おお	おお
きょうだいどうむのゆうじんとひさしぶりに	京大童夢の友人と久しぶりに
きょうだいのとけいだいのしたにふれんちれすとらんがあります	京大の時計台の下にフレンチレストランがあります
こんどいきましょー	今度行きましょう
だいがくにふれんち	大学にフレンチ
むかーしらんちしたことが	むかーしランチしたことが
そつぎょうしてからですが	卒業してからですが
がくわりとかおーびーわりびきとかあるのですか	学割とかOB割引とかあるんですか
ないとおもいます	ないと思います
めーんでぃっしゅ	メインディッシュ
えー	えー
すげー	すげー
あのごーぐるのあたっちめんとがこじんしようなのはすきまたいさくですかね	あのゴーグルのアタッチメントが個人仕様なのは隙間対策ですかね
きょうゆうしにくいですよね	共有しにくいですよね
しせんにゅうりょくとかかなりぱーそならいずされているのできほんてきにたにんにつかわせるようになってないっていってました	視線入力とかかなりパーソナライズされているので基本的に他人に使わせるようになってないって言ってました
でいらないな	じゃあいらないなぁ
きょうゆうしたい	共有したい
おやにつかってもらいたいです	親に使ってもらいたいです
かいがいりょこうにいったきになるこんてんつあればよいなとろーまとかすぺいんとか	海外旅行に行った気になれるコンテンツあればいいなとローマとかスペインとか
ぱそこんそうさするわけじゃないからほかのひとでもつかえそうですかね	パソコン操作するわけじゃないから他の人でも使えそうですかね
すまほぽいですよね	スマホっぽいですよね
えいぞうだけひとにもきょうゆうしたい	映像だけ人にも共有したい
そうさはわたくしがするぜんていでえいぞうだけひとにもみてもらいたいばあいなにがねっくになりますかね	操作は私がする前提で映像だけ人にもみてもらいたい場合何がネックになりますかね
しせんとかはこまかいせっていはそうさにひつようでもえいぞうをみるだけならせっていいらないかなと	視線とかは細かい設定は操作に必要でも映像をみるだけなら設定いらないかなと
かってもよいかとおもうのですけれどこじんしようならいらないなと	買ってもいいかとおもうんですけど個人仕様ならいらないなと
ほかのきしゅならきょうゆうできるのじゃないのかな	他の機種なら共有できるんじゃないのかな
つかったことないけれど	使ったことないけど
さんろくぜろのえいぞうをみせたいのですよ	360の映像をみせたいのですよ
ありますかね	ありますかね
これはひょうばんよいみたいですけれど	これは評判いいみたいですけど
ねだんがけたちがいなのですけれど	値段が桁違いなんですけど
あっぷるがけたちがいなのです	アップルが桁違いなんです
まあそうですけれどためしてみないことには	まあそうですけど試してみないことには
きょうしんさいばしいくからあっぷるにしつもんにいこかとおもってたのですがよどばしにしよかな	今日心斎橋いくからアップルに質問に行こかと思ってたんですがヨドバシにしよかな
しんさいばしによどばしがない	心斎橋にヨドバシがない
よどばしといえばうめだでは	ヨドバシといえば梅田では
うめだにしかない	梅田にしかない
しょくばはうめだですよね	職場は梅田ですよね
はい	はい
かえりにいってください	帰りに行ってください
いややまだでんきなみにあるのかと	いや山田電機なみにあるのかと
けーずでんきとか	ケーズでんきとか
かんさいにうめだときょうとにしかないとはおもわなかったです	関西に梅田と京都にしかないとはおもわなかったです
うめだのきたはあうぇーなのでてんしょんさがる	梅田の北はアウェーなんでテンション下がる
いみわからん	いみわからん
はんしんはよいけれどはんきゅうはなれない	阪神はいいけど阪急は慣れない
にほんばしやえすとまるのうちみたいなふんいきのちがい	日本橋八重洲と丸の内みたいな雰囲気の違い
ぐらんどふろんとよりだいさんびるみたいな	グランフロントより第三ビルみたいな
わかりません	わかりません
ちがうことはわかりますがてんしょんはかわりません	違うことはわかりますがテンションは変わりません
ないこうてきなので	内向的なんで
まちみしり	街見知り
たぶんひとみしりですし	たぶん人見知りですし
おおさかはあつそう	大阪は暑そう
そとはあつそうですが	外は暑そうですが
そとがあついのでさっさとかえります	外が暑いのでさっさと帰ります
にくしょくですね	肉食ですね
まいあさほーむでしせいよくほんをりょうてでもってよんているさんぜろぜんごのだんせいがいるのですよ	毎朝ホームで姿勢良く本を両手でもって読んでいる30前後の男性がいるんですよ
こっそりほんのひととあだなをつけてどくしょりれきをつけてます	こっそり本の人とあだ名をつけて読書履歴をつけてます
みすてりーもありさいきんはほんやたいしょうのほんをじゅんによんていることにきがつきましてわたくしもよんたしりーずをてにするひもちかいです	ミステリーもあり最近は本屋大賞の本を順に読んでいることに気が付きまして私も読んだシリーズを手にする日も近いです
あるひそのひとをみかけなくなってけげんにおもっているとよくじつのしんぶんにころされたとのきじが	ある日その人を見かけなくなって怪訝に思っていると翌日の新聞に殺されたとの記事が
ほんのひとになにがあったのか	本の人に何があったのか
てがかりはどくしょりれきだけ	手がかりは読書履歴だけ
このなぞはとけるか	この謎は解けるか
ですかね	ですかね
ほんのひとさつじんじけん	本の人殺人事件
おもしろいです	面白いデス
としょかんのほんかとおもってたらきょうおびつきやった	図書館の本かとおもってたら今日帯付きやった
はんにんはよしだゆきよ	犯人は吉田幸代
ありえる	あり得る
どうきは	動機は
どうきはよみかけのほんのおちをぼそととなりでつぶやかれた	動機は読みかけの本のオチをぼそっと隣でつぶやかれた
ありえる	あり得る
しかしそれはちめいしょうではなかった	しかしそれは致命傷ではなかった
なにと	なんと
ありがち	ありがち
まはんにんはだれだ	真犯人は誰だ
よしだにつみをきせよーとちゃんすをうかがっているひとがいた	吉田に罪を着せようとチャンスを伺っている人がいた
ひぃ	ヒィ
よしだはてきがおおい	吉田は敵が多い
ぎゃふん	ぎゃふん
じつはえふえっくすのあどばいすをきーてばいばいしたらおおぞんこいたえっくすしがまはんにん	実はFXのアドバイスを聞いて売買したら大損こいたX氏が真犯人
ありえる	あり得る
いちばんありえる	一番あり得る
だからほうほうろんしかあどばいすしない	だから方法論しかアドバイスしない
これきほんあがるさがるはいってはいけない	これ基本上がる下がるは言ってはいけない
またはよしだのせいこうをねたんたきゃばじょうのともだちのしわざ	または吉田の成功を妬んだキャバ嬢の友達の仕業
そのまえにきゃばじょうがやられてそうです	その前にキャバ嬢がやられてそうデス
じつはれんぞくさつじんじけんだったと	実は連続殺人事件だったと
はいいっけんつながりがみえないれんぞくさつじんですね	はい一見繋がりが見えない連続殺人ですね
ほんやのひとのかげがうすくなるからそれはいかんな	本屋の人の影がうすくなるからそれはいかんな
ほんやのひとがどれくらいふくらむかでおもしろさがきまるきが	本屋の人がどれくらい膨らむかで面白さが決まる気が
ほんやちゃうわ	本屋ちゃうわ
たしかに	たしかに
ほんのひと	本の人
ほんのひとのどくしょりれきがかぎですから	本の人の読書履歴が鍵ですから
たまにたいとるをぬすみみれなかったりすることあるのですよ	たまにタイトルを盗み見れなかったりすることあるんですよ
