input	gold
そのためせんようのかしきりしゃりょうはわずかとなりこうそくばすとのけんようをこうりょしたこうそくばすからてんようしたといれつきのはいでっかーがたいはんをしめるようになった	そのため専用の貸切車両は僅かとなり高速バスとの兼用を考慮した高速バスから転用したトイレ付きのハイデッカーが大半を占めるようになった
そのごいっぱんかしきりしゃとしてしようされたがはいしゃまでからーりんぐはそのままであった	その後一般貸切車として使用されたが廃車までカラーリングはそのままであった
このしゃりょうのひょうかがこうそくしゃであすてろーぺのどうにゅうをけんとうするさいにやくだったという	この車両の評価が高速車でアステローペの導入を検討する際に役立ったという
しゃたいでざいんはちからずよさをあらわすためにくろいろのしゃたいをさいようした	車体デザインは力強さを表すために黒色の車体を採用した
まーくをじぇふのしんぼるからーのいえろーででざいんしている	マークをジェフのシンボルカラーのイエローでデザインしている
しゃないはせんしゅのたたかうかんきょうをぜんめんさぽーとするためゆったりざせきでかくざせきにゆーえすびーぽーとをかんびしている	車内は選手の闘う環境を全面サポートするためゆったり座席で各座席にUSBポートを完備している
このしゃりょうもげんざいはびゅうのしゃたいろごはけされているがとそうへんこうされることなくかしきりやうすいせんでしようしている	この車両も現在はびゅうの車体ロゴは消されているが塗装変更されることなく貸切や碓氷線で使用している
にぜろにぜろねんどにていきかんこうばすなどでしようするためのやねなしおーぷんとっぷしようのにかいだてばすみつびしふそうえあろきんぐをちゅうごくじぇーあーるばすよりいちだいこうにゅうした	2020年度に定期観光バスなどで使用するための屋根無しオープントップ仕様の二階建てバス三菱ふそうエアロキングを中国ジェイアールバスより1台購入した
にぜろにごねんろくがつにじぇーあーるばすとうほくからこもろしてんへしきとうせんようばすのせれがえすえいちでぃーやいっぱんかしきりしようのがらえいちでぃーがいせきしてきた	2025年6月にジェイアールバス東北から小諸支店へ四季島専用バスのセレガSHDや一般貸切仕様のガーラHDが移籍してきた
こみゅにてぃーばす	コミュニティバス
しちょうそんのこみゅにてぃーばすについてはとうしゃしょゆうのものとしちょうそんがしょゆうしているものとがある	市町村のコミュニティバスについては当社所有のものと市町村が所有しているものとがある
またいぜんにたじぎょうしゃがうんこうしていたしゃりょうをそのままひきついてうんこうしているものもそんざいするいなしさのしこがしなどのいちぶのしゃりょう	また以前に他事業者が運行していた車両をそのまま引き継いで運行しているものも存在する伊那市佐野市古河市などの一部の車両
たいはんはこがたしゃのひのぽんちょやひのりえっせみつびしふそうろーざではあるがみつびしふそうろーざのぼんねっとばすやとよたはいえーすなどのわごんたいぷもはいちされている	大半は小型車の日野ポンチョや日野リエッセ三菱ふそうローザではあるが三菱ふそうローザのボンネットバスやトヨタハイエースなどのワゴンタイプも配置されている
とそうはわごんたいぷにまっしろなものもそんざいするがたいはんがかくしちょうそんのどくじのからーにぬられている	塗装はワゴンタイプに真っ白なものも存在するが大半が各市町村の独自のカラーに塗られている
ちゅうがたしゃではさのしてんやしらかわしてんにいすずえるがみおやひのれいんぼーがとうしゃひょうじゅんしょくではいちされている	中型車では佐野支店や白河支店にいすゞエルガミオや日野レインボーが当社標準色で配置されている
しらかわしてんにはもくめちょうのないそうやとくちゅうのふろんとぐりるとりつけなどのかすたまいずをほどこしたどくじのからーのひのれいんぼーのしんしゃもいちだいはいちされている	白河支店には木目調の内装や特注のフロントグリル取り付けなどのカスタマイズを施した独自のカラーの日野レインボーの新車も1台配置されている
とくていゆそうしゃれんせつばす	特定輸送車連節バス
にぜろにぜろねんどにはあらたにひのぶるーりぼんはいぶりっどれんせつばすがいちへんせいがはいちされた	2020年度には新たに日野ブルーリボンハイブリッド連節バスが1編成が配置された
どうけいはこくないどうにゅうにしゃめとなる	同型は国内導入二社目となる
よやくせいのりあいたくしー	予約制乗合タクシー
ながのけんいなしからのいたくによりはせちくにてにぜろにいちねんよんがついちにちよりうんこうかいししたよやくせいのりあいたくしーぐるとたくしーにはとよたぼくしーとよたのあにっさんりーふをしようしている	長野県伊那市からの委託により長谷地区にて2021年4月1日より運行開始した予約制乗合タクシーぐるっとタクシーにはトヨタヴォクシートヨタノア日産リーフを使用している
しゃりょうしょうごう	車両称号
ほっそくごしばらくはこくてつばすのふばんほうそくをそのまましようしていたがいちきゅうきゅうぜろねんにふばんほうそくについてかいていをおこないきそんしゃもすべてかいばんされた	発足後しばらくは国鉄バスの附番法則をそのまま使用していたが1990年に附番法則について改定を行い既存車もすべて改番された
ゆかたかさ	床高さ
えるえるおーだぶりゅーていしょうしゃわんすてっぷのんすてっぷ	LLow低床車ワンステップノンステップ
しゃしゅ	車種
いちこがた	1小型
ろくかんこうこうそく	6観光高速
ななとくしゅしゃりょう	7特殊車両
けいじょう	形状
いちよこむきざせき	1横向き座席
にこんごうはんぶんいじょうがまえむき	2混合半分以上が前向き
さんまえむきざせき	3前向き座席
よんよこよんれつりくらいにんぐしーとといれなし	4横4列リクライニングシートトイレなし
ごよこよんれつりくらいにんぐしーとといれつき	5横4列リクライニングシートトイレ付き
ろくよこさんれつりくらいにんぐしーとといれなし	6横3列リクライニングシートトイレなし
ななよこさんれつりくらいにんぐしーとといれつき	7横3列リクライニングシートトイレ付き
はちしんだいせいていのみでせっていなし	8寝台制定のみで設定なし
めーかー	メーカー
いちいすず	1いすゞ
よんみつびし	4三菱
ななひの	7日野
はちにっさんでぃーぜるげんゆーでぃーとらっくす	8日産ディーゼル現UDトラックス
ぜろそのた	0その他
ねんしき	年式
せいれきのしたにけた	西暦の下2桁
ちゅうこしゃでもせいぞうねんをしようする	中古車でも製造年を使用する
そうび	装備
いちまえとびらいたばね	1前扉板ばね
にぜんちゅうひいたばね	2前中扉板ばね
さんぜんごとびらいたばね	3前後扉板ばね
よんまえとびらくうきばね	4前扉空気ばね
ごぜんちゅうひくうきばね	5前中扉空気ばね
ろくぜんごとびらくうきばね	6前後扉空気ばね
ぜろさんとびらしゃ	03扉車
こゆうばんごう	固有番号
まえななけたごとのれんばん	前7桁毎の連番
そのた	その他
にぜろぜろさんねんいこうぜんしゃりょうにでーたいむらんぷがそうびされた	2003年以降全車両にデイタイムランプが装備された
うんてんちゅういりょくていかけいほうそうちとしてどらいばーもにたーうんてんちゅういりょくもにたーもびーるあいがとうさいされている	運転注意力低下警報装置としてドライバーモニター運転注意力モニターモービルアイが搭載されている
しゃりょうかさいじどうしょうかそうちがこうそくばすぜんしゃりょうにとうさいされている	車両火災自動消火装置が高速バス全車両に搭載されている
いっぱんろせんしゃでははくしょくひょうじたいぷをにぜろいちきゅうねんどのしんしゃちゅうこしゃからさいようしている	一般路線車では白色表示タイプを2019年度の新車中古車から採用している
こうそくしゃにはにぜろいちさんねんどどうにゅうしゃからざせきにけいたいでんわやすまーとふぉんをじゅうでんするためのこんせんとをせっちしている	高速車には2013年度導入車から座席に携帯電話やスマートフォンを充電するためのコンセントを設置している
にぜろいちよんねんどどうにゅうしゃからはこんせんとをゆーえすびーたいぷにへんこうした	2014年度導入車からはコンセントをUSBタイプに変更した
それいぜんのどうにゅうしゃりょうでもこんせんとやゆーえすびーたいぷがあとづけされているものがある	それ以前の導入車両でもコンセントやUSBタイプが後付けされているものがある
じぇーあーるばすかんとうではいちぶこうそくしゃのたしゃへのりーすをおこなっている	ジェイアールバス関東では一部高速車の他社へのリースを行っている
つくばごうへのねおぷらんめがらいなーどうにゅうじゆにゅうされたよんだいはすべてじぇーあーるばすかんとうがこうにゅうしたものでうちにだいをかんとうてつどうにりーすするというほうほうをさいようした	つくば号へのネオプランメガライナー導入時輸入された4台はすべてジェイアールバス関東が購入したものでうち2台を関東鉄道にリースするという方法を採用した
なおげんざいはかさいのためはいしゃされている	なお現在は火災のため廃車されている
だぶるでっかーはいちだいがじぇーあーるしこくばすへかしだされたことがあるほかにぜろぜろろくねんどにいちだいがりーすされていた	ダブルデッカーは1台がジェイアール四国バスへ貸し出されたことがあるほか2006年度に1台がリースされていた
またにぜろにぜろねんにはじぇーあーるばすとうほくにせいしゅんえこどりーむごうしようのいちだいがかしだされていきかんこうばすとしてしようされている	また2020年にはジェイアールバス東北に青春エコドリーム号仕様の1台が貸し出され定期観光バスとして使用されている
さんこうぶんけん	参考文献
しょせき	書籍
ざっし	雑誌
かんれんこうもく	関連項目
ひがしにっぽんりょかくてつどう	東日本旅客鉄道
じぇーあーるばすてっく	ジェイアールバステック
じぇーあーるばすとうほく	ジェイアールバス東北
さのしんとしばすたーみなる	佐野新都市バスターミナル
かんとうちほうののりあいばすじぎょうしゃ	関東地方の乗合バス事業者
とうほくちほうののりあいばすじぎょうしゃ	東北地方の乗合バス事業者
ちゅうぶちほうののりあいばすじぎょうしゃ	中部地方の乗合バス事業者
どりーむごう	ドリーム号
がいぶりんく	外部リンク
きゅらそーはさけのいっしゅ	キュラソーは酒の一種
りきゅーるにぶんるいされる	リキュールに分類される
ちゅうせいすぴりっとやぶらんでーにおれんじのかひのこうみせいぶんととうぶんをくわえたもの	中性スピリッツやブランデーにオレンジの果皮の香味成分と糖分を加えたもの
がいよう	概要
きゅらそーはおれんじのりきゅーるだがそのせいぞうにはおれんじのかじゅうやかにくはげんそくとしてもちーられずかひのみをしようしている	キュラソーはオレンジのリキュールだがその製造にはオレンジの果汁や果肉は原則として用いられず果皮のみを使用している
いちななせいきこうはんなんべいべねずえらおきのおらんだりょうきゅらそーとうさんのおれんじかひをしようしておらんだほんごくでつくりだされた	17世紀後半南米ベネズエラ沖のオランダ領キュラソー島産のオレンジ果皮を使用してオランダ本国で作り出された
りきゅーるのなかでもきゅらそーはめいがらすうがおおい	リキュールの中でもキュラソーは銘柄数が多い
ゆうめいなものとしてほわいときゅらそーのこあんとろーとおれんじきゅらそーのぐらんどまるにえがあげられる	有名なものとしてホワイトキュラソーのコアントローとオレンジキュラソーのグランマルニエがあげられる
ぼるすでかいぱーきゅーぜにあまりーぶりざーるなどのりきゅーるめーかーもそれぞれきゅらそーをだしている	ボルスデカイパーキューゼニアマリーブリザールなどのリキュールメーカーもそれぞれキュラソーを出している
さらにこあんとろーやぐらんどまるにえをほっとこーひーにいれてのむことがふらんすやいぎりすでひろまっていたりもする	さらにコアントローやグランマルニエをホットコーヒーに入れて飲むことがフランスやイギリスで広まっていたりもする
このようにふるくからりようされてきたりきゅーるという	このように古くから利用されてきたリキュールと言える
このたせいかなどにもりようされるなどりようほうもたきにわたる	この他製菓などにも利用されるなど利用法も多岐に渡る
かくしょくのきゅらそー	各色のキュラソー
きゅらそーにはおーきくわけてむしょくとうめいのほわいときゅらそーとだいだいいろのおれんじきゅらそーがある	キュラソーには大きく分けて無色透明のホワイトキュラソーと橙色のオレンジキュラソーがある
ほわいときゅらそーにはとりぷるせっくというべっしょうがある	ホワイトキュラソーにはトリプルセックという別称がある
ほかのいろのきゅらそーとしてあおいろのぶるーきゅらそーみどりいろのぐりーんきゅらそーあかいろのれっどきゅらそーもそんざいする	他の色のキュラソーとして青色のブルーキュラソー緑色のグリーンキュラソー赤色のレッドキュラソーも存在する
これらはほわいときゅらそーをごうせいちゃくしょくりょうでちゃくしょくしたものである	これらはホワイトキュラソーを合成着色料で着色したものである
かくてるのちゃくしょくのためにしばしばしようされている	カクテルの着色のためにしばしば使用されている
このちゃくしょくりょうのてんかのためにほわいときゅらそーにちかいもののほわいときゅらそーとはじゃっかんあじがことなるとされる	この着色料の添加のためにホワイトキュラソーに近いもののホワイトキュラソーとは若干味が異なるとされる
なおおれんじきゅらそーはきほんてきにそんじゅくせいによるちゃくしょくだがそのたのざいりょうによってもいろがついている	なおオレンジキュラソーは基本的に樽熟成による着色だがその他の材料によっても色が付いている
ばあいによってはきゃらめるしきそなどでしきちょうのちょうせいがなされるばあいもある	場合によってはカラメル色素などで色調の調整がなされる場合もある
おれんじきゅらそーはそんじゅくせいによるたるからのせいぶんのようしゅつなどがあるためにほわいときゅらそーとはあじがことなる	オレンジキュラソーは樽熟成による樽からの成分の溶出などがあるためにホワイトキュラソーとは味が異なる
きゅらそーをつかったかくてる	キュラソーを使ったカクテル
きゅらそーはひじょうにおおくのかくてるでしようされる	キュラソーは非常に多くのカクテルで使用される
しゅようなものだけでもいかのとおり	主要なものだけでも以下の通り
さいどかー	サイドカー
ほわいとれでぃー	ホワイトレディ
ばららいか	バラライカ
えっくすわいぜっと	XYZ
まるがりーた	マルガリータ
ういすきーさいどかー	ウイスキーサイドカー
いじょうはいずれもじょうりゅうしゅほわいときゅらそーれもんじゅーすというこうせいでありかくてるのいちるいけいをなしている	以上はいずれも蒸留酒ホワイトキュラソーレモンジュースという構成でありカクテルの一類型をなしている
きんぐばれー	キングスバレイ
ぶるーはわい	ブルーハワイ
ぶるーまんでー	ブルーマンデー
いじょうはぶるーきゅらそーによるちゃくしょくをりようしたかくてるとしてしられる	以上はブルーキュラソーによる着色を利用したカクテルとして知られる
そのたにいかのようなものがある	その他に以下のようなものがある
またこれはほっとこーひーののみかたのはんちゅうにはいるとするみかたもあるがふらんすやいぎりすではほっとこーひーにぐらんどまるにえをいれてのむということがしばしばおこなわれる	またこれはホットコーヒーの飲み方の範疇に入るとする見方もあるがフランスやイギリスではホットコーヒーにグランマルニエを入れて飲むということがしばしば行われる
ほかにもこあんとろーがつくられているふらんすではほっとこーひーにこあんとろーをいれてのむということがしばしばおこなわれる	他にもコアントローが作られているフランスではホットコーヒーにコアントローを入れて飲むということがしばしば行われる
きゃくちゅう	脚注
しゅってん	出典
さんこうぶんけん	参考文献
がいぶりんく	外部リンク
そみゅーるどーばーおんらいんしょっぷ	ソミュールドーバーオンラインショップ
かもんふぁんきーりっぷはぶんかほうそうをきーすてーしょんにえぬあーるえぬけいれつでほうそうしたしんやらじおばんぐみ	カモンファンキーリップスは文化放送をキーステーションにNRN系列で放送した深夜ラジオ番組
ぱーそなりてぃー	パーソナリティ
ねっときょく	ネット局
とうばんぐみはろーかるせーるすわくでほっかいどうなごやおおさかおきなわなどのみんぽうらじおきょくはみほうそう	当番組はローカルセールス枠で北海道名古屋大阪沖縄などの民放ラジオ局は未放送
いこうはげんざいのれこめん	以降は現在のレコメン
にいたるまでえぬあーるえぬけいれつのへいじつによんじだいはいちぶのつぼねをのぞきぶんかほうそうせいさくのばんぐみをねっとしている	に至るまでNRN系列の平日24時台は一部の局を除き文化放送制作の番組をネットしている
あおもりほうそう	青森放送
あきたほうそう	秋田放送
やまなしほうそう	山梨放送
さんいんほうそう	山陰放送
やまぐちほうそう	山口放送
しこくほうそう	四国放送
こうちほうそう	高知放送
おおいたほうそう	大分放送
ながさきほうそう	長崎放送
くまもとほうそう	熊本放送
いわてほうそう	岩手放送
やまがたほうそう	山形放送
らじおふくしま	ラジオ福島
にいがたほうそう	新潟放送
しんえつほうそう	信越放送
きたにっぽんほうそう	北日本放送
ほくりくほうそう	北陸放送
ふくいほうそう	福井放送
なんかいほうそう	南海放送
みやざきほうそう	宮崎放送
きゅうしゅうあさひほうそう	九州朝日放送
ふっかつとくばん	復活特番
すいようひのぱーそなりてぃーをつとめたいまだこうじとうのこうじがたんとうした	水曜日のパーソナリティを務めた今田耕司東野幸治が担当した
びこう	備考
とうばんぐみのほうそうじかんはせい	当番組の放送時間はセイ
やんぐみすでぃーじぇーりくえすとぱれーどなどのわかものむけしんやばんぐみをほうそうしていた	ヤングミスDJリクエストパレードなどの若者向け深夜番組を放送していた
ぶんかほうそうらいおんないたーのほうそうじかんかくだいをいちきゅうはちごねんよんがつかいへんよりじっし	文化放送ライオンズナイターの放送時間拡大を1985年4月改編より実施
だいがくじゅけんらじおこうざひゃくまんにんのえいごなどがへいじつゆうがたよりわくいどう	大学受験ラジオ講座百万人の英語などが平日夕方より枠移動
きょういくきょうようむけのらじおばんぐみがならぶじかんたいとなる	教育教養向けのラジオ番組が並ぶ時間帯となる
わかものむけしんやばんぐみはせい	若者向け深夜番組はセイ
やんぐをひきついたさだまさしのせい	ヤングを引き継いださだまさしのセイ
やんぐをどようしんやにほうそうしていた	ヤングを土曜深夜に放送していた
とうばんぐみのかいしにともないわかものむけのしんやばんぐみわくがいちきゅうはちごねんさんがついらいきゅうねんふりにふっかつした	当番組の開始に伴い若者向けの深夜番組枠が1985年3月以来9年振りに復活した
おもにじょしこうせいのりすなーをたいしょうにしていた	主に女子高生のリスナーを対象にしていた
びーじーえむ	BGM
おーぷにんぐてーま	オープニングテーマ
はらだしんじさっきょくによるおりじなるてーまそんぐ	原田真二作曲によるオリジナルテーマソング
えんでぃんぐてーま	エンディングテーマ
いちきゅうきゅうななねん	1997年
こまーしゃるじふぃらーびーじーえむ	コマーシャル時フィラーBGM
いちきゅうきゅうななねん	1997年
すたぶ	スタブ
ねっときょくとびおりときびーじーえむ	ネット局飛び降り時BGM
いちきゅうきゅうななねんど	1997年度
いちきゅうきゅうはちねんど	1998年度
いちきゅうきゅうきゅうねんど	1999年度
きゃくちゅう	脚注
ちゅうしゃく	注釈
しゅってん	出典
がいぶりんく	外部リンク
ほーむぺーじ	ホームページ
のたくほん	の拓本
たくほんたくほんはでんとうてきなきぶつのてんしゃのほうほうのひとつ	拓本たくほんは伝統的な器物の転写の方法の一つ
がいよう	概要
おうとつのあるせきひきぐすずりせいどうきなどにかみやきぬをかぶせてみっちゃくさせうえからたんぽにふくませたすみをうちうえすみじょうぼくおうとつをうつしとることまたうつしとったかみやぬののこと	凹凸のある石碑器具硯青銅器などに紙や絹を被せて密着させ上からタンポに含ませた墨を打ち上墨じょうぼく凹凸を写しとることまた写し取った紙や布のこと
うつしとられたきぶつのぞうをたくえいという	写しとられた器物の像を拓影という
へこんたぶぶんがしろくとつぶぶんがくろくしじょうにあらわれる	凹んだ部分が白く凸部分が黒く紙上に現れる
えんぴつこけいのすみつりがねすみたくほんすみろうすみなどですってたくほんをとることをかんたくという	鉛筆固形の墨釣鐘墨拓本墨蝋墨などで擦って拓本をとることを乾拓という
かみやぬのをぬらしてきぶつにみっちゃくさせかわくまえにうえすみしてたくえいをえるものをしったくという	紙や布を濡らして器物に密着させ乾く前に上墨して拓影を得るものを湿拓という
たいしょうのきぶつにかみとうをのせたうえからうえすみすることをかんせつたくといーきぶつにちょくせつすみをぬってはんがのようにかみをおしつけてうつしとるのをちょくせつたくという	対象の器物に紙等を載せた上から上墨することを間接拓といい器物に直接墨を塗って版画のように紙を押し付けて写しとるのを直接拓という
そざつなぎょたくをとるばあいいがいはつうじょうちょくせつたくをもちいることはない	粗雑な魚拓をとる場合以外は通常直接拓を用いることはない
さんとうしょうたいざんでたくほんをするようす	山東省泰山で拓本をする様子
のはかいしのたくほんをするけんきゅうか	の墓石の拓本をする研究家
しゅってん	出典
かんれんこうもく	関連項目
ふろったーじゅ	フロッタージュ
いしずりえ	石摺絵
がいぶりんく	外部リンク
かとうまことしゅたくしゅうしゅうにっぽんきんせきたくほんこれくしょん	加藤諄手拓収集日本金石拓本コレクション
たくほんきょうしつたかはしまさひろ	拓本教室高橋昌博
たくほんうらうちきょうしつたかはしまさひろ	拓本裏打ち教室高橋昌博
あいのせんしへっどろここあいのせんしへっどろここはふじいみどりによるにっぽんのまんが	愛の戦士ヘッドロココあいのせんしヘッドロココは藤井みどりによる日本の漫画
ろってよりはんばいのしーるつきおかしびっくりまんをだいざいにしたしょうじょまんがさくひんである	ロッテより販売のシールつきお菓子ビックリマンを題材にした少女漫画作品である
とちゅうけいさいしのいどうにあたりあいのせんしへっどろここてんとほしのでんせつれじぇんどにかいだいしている	途中掲載誌の移動にあたり愛の戦士ヘッドロココ天と星の伝説レジェンドに改題している
がいよう	概要
てんしへっどろこことあくまわんだーまりあのれんあいをえがいたさくひんでしょうがくかんのしょうじょむけじどうまんがしぴょんぴょんでれんさい	天使ヘッドロココと悪魔ワンダーマリアの恋愛を描いた作品で小学館の少女向け児童漫画誌ぴょんぴょんで連載
ぴょんぴょんのきゅうかんごあいのせんしへっどろここてんとほしのでんせつれじぇんどとかいだいしどうしのきゅうしゅうさきとなったちゃおでれんさいをけいぞくした	ぴょんぴょんの休刊後愛の戦士ヘッドロココ天と星の伝説レジェンドと改題し同誌の吸収先となったちゃおで連載を継続した
たんこうほんはてんとうむしこみっくはんがぜんななまきあとにぶっきんぐからぜんさんかんでふっかん	単行本はてんとう虫コミックス版が全7巻後にブッキングから全3巻で復刊
またれんさいちゅうにぽにーきゃにおんからいめーじあるばむもはつばいされた	また連載中にポニーキャニオンからイメージアルバムも発売された
すとーりーとせかいかん	ストーリーと世界観
はじめはぴょんぴょんにたんきれんさいとしてけいさいされた	初めはぴょんぴょんに短期連載として掲載された
そのひょうばんをうけあとにあらためてれんさいがかいしされちょうきにわたってえがかれることになる	その評判を受け後に改めて連載が開始され長期にわたって描かれることになる
ひーろーがろここであるてんはかわらない	ヒーローがロココである点は変わらない
でこれいてぃぶないしょうやけんちくはかわらないがえがらはぴょんぴょんよりもたかめのねんれいそうのちゃおにあわせたものにへんかした	デコレイティブな衣装や建築は変わらないが絵柄はぴょんぴょんよりも高めの年齢層のちゃおに合わせたものに変化した
そのごびっくりまんしーるのげんこうしりーずであったすーぱーびっくりまんのはんばいしゅうりょうとほぼどうじきにれんさいはすうかげつでしゅうりょうする	その後ビックリマンシールの現行シリーズであったスーパービックリマンの販売終了とほぼ同時期に連載は数ヶ月で終了する
れんさいしゅうりょうごちゃおぞうかんにてほんぺんよりすうねんごをぶたいとしろこことまりあのむすめのあるしーるをしゅじんこうにしたえぴそーどをえがいたばんがいへんしあわせのくにのりんぶがけいさいされた	連載終了後ちゃお増刊にて本編より数年後を舞台としロココとマリアの娘ノアルシールを主人公にしたエピソードを描いた番外編幸せの国の輪舞が掲載された
とうじょうじんぶつ	登場人物
つぎかいたんさくたい	次界探索隊
ほんさくのしゅじんこう	本作の主人公
しあわせのしんてんちつぎかいをめざしてたびするいちだんのりーだーでてんしのおうすーぱーぜうすのまご	幸せの新天地次界を目指して旅する一団のリーダーで天使の王スーパーゼウスの孫
じゅんすいなこころをもちくなんにもくっしないつよいいしをもちあわせるがちょうがつくほどのおひとよし	純粋な心を持ち苦難にも屈しない強い意志を持ち合わせるが超が付くほどのお人よし
それゆえとらぶるにまきこまれることもすくなくない	それゆえトラブルに巻き込まれることも少なくない
ほうこうおんちであるためそふからみちにまよったときにつかうせいなるこえだをつねにもちあわせている	方向音痴であるため祖父から道に迷った時に使う聖なる小枝を常に持ち合わせている
りょうりのさいのうはかいむ	料理の才能は皆無
ようめいはせいふぇにっくすつうしょうふぇにー	幼名は聖フェニックス通称フェニー
まりあをあいするがゆえげんざいのせんそうにたいしふかいぎもんをもつ	マリアを愛するが故現在の戦争に対し深い疑問を持つ
のちにまりあのちちるしふぁーにあくまおうのあかしであるけんをさずかる	のちにマリアの父ルシファーに悪魔王の証である剣を授かる
てんしろここをあいするてんまかいのおうじょ	天使ロココを愛する天魔界の王女
ようめいはさたんまりあつうしょうまりー	幼名はサタンマリア通称マリー
てんさいてきなかじのうでまえでりょうりのうでだけであいてをせっとくするとくぎがある	天才的な家事の腕前で料理の腕だけで相手を説得する特技がある
しばしばかのじょのうでまえにほんろうされるてんしあくまおまもりはすくなくない	しばしば彼女の腕前に翻弄される天使悪魔お守りは少なくない
へっどろここのたびのなかま	ヘッドロココの旅の仲間
やまとかみみかどうしわかしんみかどかみみかどおとこじゃっくかみみかどふっどかみみかどぴーたーいちほんつりかみみかどありばばしんみかどのけいななにん	ヤマト神帝牛若神帝神帝男ジャック神帝フッド神帝ピーター一本釣神帝アリババ神帝の計7人
そろってころころしたこども	揃ってコロコロした子供
りょうりおんちなろここにかわりかじやしょくじなどもこなす	料理音痴なロココに代わり家事や食事などもこなす
ばんがいへんしあわせのくにのりんぶではつぎかいのおうとなったろここのいちばんのぶかとしてせいねんのすがたでとうじょうした	番外編幸せの国の輪舞では次界の王となったロココの一番の部下として青年の姿で登場した
てんちきゅう	天地球
てんちきゅうのめがみ	天地球の女神
ろここをあいするといういみでまりあのらいばるでもあるがよきともでもある	ロココを愛するという意味でマリアのライバルでもあるがよき友でもある
てんまかい	天魔界
まりあのははでてんまかいのじょおう	マリアの母で天魔界の女王
あくまのしゅくてきであるてんしろこことまりあのかんけいにつよくはんたいする	悪魔の宿敵である天使ロココとマリアの関係に強く反対する
のあとてんまかいをにぶんするあくま	ノアと天魔界を二分する悪魔
しかしすとーりーがすすむにつれててんまかいのしゅどうけんをのあのいちぞくがにぎるようになりばんがいへんあいのめもわーるではかつてまりあのちちおうるしふぁのしんかであったというせっていとなった	しかしストーリーが進むに連れて天魔界の主導権をノアの一族が握るようになり番外編愛のメモワールではかつてマリアの父王ルシファの臣下であったという設定となった
じょそうがにあう	女装が似合う
あいぜんかぐやとけっこんしよーとした	愛然かぐやと結婚しようとした
ようしょうきからのまりあのかていきょうし	幼少期からのマリアの家庭教師
のあのいのちによりまりあをつれてかえろーとしたがあいのいずみのもんばんによってねずみにされた	ノアの命によりマリアを連れて帰ろうとしたが愛の泉の門番によってネズミにされた
じきてんまかいじょおうであるむすめのしょうらいをあんじのあがきめたこんやくしゃ	次期天魔界女王である娘の将来を案じノアが決めた婚約者
じつはまりあやろここよりとしうえだがまりあのようしょうじにふういんされていたためがいけんとじつねんれいがむかしのままのすがたでふっかつした	実はマリアやロココより年上だがマリアの幼少時に封印されていたため外見と実年齢が昔のままの姿で復活した
りえきしゅぎでとうしょはりえきもくてきのためにちかずいたがしだいにまりあをあいするようになった	利益主義で当初は利益目的のために近づいたが次第にマリアを愛するようになった
ようしょうじにりょうしんをうしないこじとなるがおやどうしがしたしかったえりすれあのいえへようしにむかえられたかこがありははというそんざいにあこがれている	幼少時に両親を失い孤児となるが親同士が親しかったエリスレアの家へ養子に迎えられた過去があり母という存在に憧れている
こうぶつはばななたっぷりのぱふぇ	好物はバナナたっぷりのパフェ
のあのひしょかんでまりあのもとめつけやくがいざーのぎまい	ノアの秘書官でマリアの元目付け役カイザーの義妹
わるきゅーれさんまじょのひとり	ワルキューレ3魔女の一人
くすりのちょうごうにたけへやにはさまざまなやくひんがならべられている	薬の調合に長け部屋にはさまざまな薬品が並べられている
てんまかいがわでまりあとろここのかんけいをりかいするかずすくないじんぶつのひとり	天魔界側でマリアとロココの関係を理解する数少ない人物の一人
こうぶつはたこやき	好物はたこ焼き
てんきよしかい	天聖界
てんしたちのちょうでろここにつぎかいたんさくをめーじた	天使達の長でロココに次界探索を命じた
ろこことはそふとまごであるというかんけいはものがたりこうはんでつけられたせっていらしくとうしょはげんさくとおなじじょうしとぶかというたちばであった	ロココとは祖父と孫であるという関係は物語後半でつけられた設定らしく当初は原作と同じ上司と部下という立場であった
すーぱーぜうすのむすこでろここのちちおや	スーパーゼウスの息子でロココの父親
すーぱーぜうすとろここのかんけいがとうしょとこうはんではちがったためさいしゅうかいまぎわでとうじょう	スーパーゼウスとロココの関係が当初と後半では違ったため最終回間際で登場
そのためでばんがすくない	そのため出番が少ない
ろここのははであんじぇりっくのつま	ロココの母でアンジェリックの妻
むすこおっとぎふよりしっかりしたけんぼ	息子夫義父よりしっかりした賢母
つぎかい	次界
ばんがいへんしあわせのくにのりんぶのしゅじんこう	番外編幸せの国の輪舞の主人公
ろこことまりあのあいだにうまれたむすめでつぎかいのおうじょ	ロココとマリアの間に生まれた娘で次界の王女
るしふぁーどというあにがいる	ルシファードという兄がいる
りりょくをもたないひとびとのすむいせかいでくりすとふぁーありえすというしょうねんにであいこいごころをいだきはじめる	理力を持たない人々の住む異世界でクリストファーアリエスという少年に出会い恋心を抱き始める
ほんにんのだんによるとにげあしはかみみかどよりはやいらしくろここににてりょうりがふとくい	本人の談によると逃げ足は神帝より早いらしくロココに似て料理が不得意
いめーじあるばむ	イメージアルバム
ほんさくではげんさくしゃじしんさくしとかしょうをてがけたきょくがある	本作では原作者自身作詞と歌唱を手がけた曲がある
げんさくふじいみどり	原作藤井みどり
はつばいもとぽにーきゃにおん	発売元ポニーキャニオン
しゅうろくきょくめ	収録曲目
さくしまつもとはな	作詞松本花奈
